  illustration 1
 illustration velasquez 1
and purple are 1
purple are also 1
are also used 1
also used to 1
used to define 1
to define flesh 1
define flesh hair 1
flesh hair and 1
hair and white 1
and white objects 1
white objects the 1
objects the figure 1
figure is stiff 1
is stiff the 1
stiff the action 1
the action awkward 1
action awkward the 1
awkward the composition 1
the composition is 1
composition is freer 1
is freer than 1
freer than before 1
than before but 1
before but still 1
but still conventional 1
still conventional the 1
conventional the subjects 1
the subjects are 1
subjects are the 1
are the gods 1
the gods demigods 1
gods demigods and 1
demigods and heroes 1
and heroes in 1
heroes in scenes 1
in scenes from 2
scenes from their 1
from their lives 1
lives and adventures 1
and adventures the 1
adventures the fourth 1
the fourth kind 1
fourth kind of 1
ware dates down 1
dates down into 1
down into the 1
into the hellenistic 1
the hellenistic age 1
hellenistic age and 1
age and shows 1
and shows red 1
shows red figures 1
red figures surrounded 1
figures surrounded by 1
surrounded by a 1
by a black 1
a black ground 1
black ground the 1
ground the figure 1
the figure the 1
figure the drawing 1
the drawing the 1
drawing the composition 1
the composition are 1
composition are better 1
are better than 1
better than at 1
than at any 1
at any other 1
any other period 1
other period and 1
period and suggest 1
and suggest a 1
suggest a high 1
a high excellence 1
high excellence in 1
excellence in other 1
in other forms 1
other forms of 1
forms of greek 1
greek painting after 1
painting after alexander 1
after alexander vase 1
alexander vase painting 1
vase painting seems 1
to have shared 1
have shared the 1
shared the fate 1
the fate of 1
fate of wall 1
of wall and 2
wall and panel 1
and panel painting 1
panel painting there 1
was a striving 1
a striving for 1
striving for effect 1
for effect with 1
effect with ornateness 1
with ornateness and 1
ornateness and extravagance 1
and extravagance and 1
extravagance and finally 1
and finally the 2
finally the art 1
the art passed 1
art passed out 1
passed out entirely 1
out entirely there 1
entirely there was 1
there was an 3
was an establishment 1
an establishment founded 1
establishment founded in 1
founded in southern 1
in southern italy 1
southern italy which 1
italy which imitated 1
which imitated the 1
imitated the greek 1
the greek and 3
greek and produced 1
and produced the 1
produced the apulian 1
the apulian ware 1
apulian ware but 1
ware but the 1
but the romans 1
the romans gave 1
romans gave little 1
gave little encouragement 1
little encouragement to 1
encouragement to vase 1
to vase painting 1
vase painting and 1
painting and about 1
and about bc 1
about bc it 1
bc it disappeared 1
it disappeared almost 1
disappeared almost all 1
almost all the 3
all the museums 2
the museums of 4
museums of the 2
of the world 5
the world have 1
world have collections 1
have collections of 1
collections of greek 1
of greek vases 1
greek vases the 1
vases the british 1
the british berlin 1
british berlin and 1
berlin and paris 1
and paris collections 1
paris collections are 1
collections are perhaps 1
are perhaps as 1
perhaps as complete 2
as complete as 1
complete as anyillustration 1
as anyillustration fig 1
anyillustration fig amphore 1
fig amphore lower 1
amphore lower italyetruscan 1
lower italyetruscan and 1
italyetruscan and roman 1
and roman painting 1
roman painting books 1
books recommended see 1
recommended see bibliography 1
see bibliography of 1
bibliography of greek 1
greek painting and 1
painting and also 1
and also dennis 1
also dennis cities 1
dennis cities and 1
cities and cemeteries 1
and cemeteries of 1
cemeteries of etruria 1
of etruria graul 1
etruria graul die 1
graul die portratgemalde 1
die portratgemalde aus 1
portratgemalde aus den 1
aus den grabstatten 1
den grabstatten des 1
grabstatten des faiyum 1
des faiyum helbig 1
faiyum helbig die 1
helbig die wandgemalde 1
die wandgemalde campaniens 1
wandgemalde campaniens helbig 1
campaniens helbig untersuchungen 1
helbig untersuchungen uber 1
untersuchungen uber die 1
uber die campanische 1
die campanische wandmalerei 1
campanische wandmalerei mau 1
wandmalerei mau geschichte 1
mau geschichte der 1
geschichte der decorativen 1
der decorativen wandmalerei 1
decorativen wandmalerei in 1
wandmalerei in pompeii 1
in pompeii martha 1
pompeii martha larcheologie 1
martha larcheologie etrusque 1
larcheologie etrusque et 1
etrusque et romaineetruscan 1
et romaineetruscan painting 1
romaineetruscan painting painting 1
painting painting in 1
painting in etruria 1
in etruria has 1
etruria has not 1
has not a 1
not a great 5
a great deal 6
great deal ofinterest 1
deal ofinterest for 1
ofinterest for us 1
for us just 1
us just here 1
just here it 1
here it was 1
was largely decorative 1
largely decorative and 1
decorative and sepulchral 1
and sepulchral inmotive 1
sepulchral inmotive and 1
inmotive and was 1
and was employed 1
was employed in 1
employed in the 1
painting of tombs 1
of tombs and 1
tombs and upon 1
and upon vases 1
upon vases andother 1
vases andother objects 1
andother objects placed 1
objects placed in 1
placed in the 4
the tombs it 1
tombs it had 1
it had a 2
had a native 1
a native way 1
native way of 1
way of expressingitself 1
of expressingitself which 1
expressingitself which at 1
which at first 1
at first was 3
first was neither 1
was neither greek 1
neither greek nor 1
greek nor oriental 1
nor oriental and 1
oriental and yet 1
and yet areminder 1
yet areminder of 1
areminder of both 1
of both technically 1
both technically it 1
technically it was 1
it was not 10
was not well 2
not well done 1
well done before 1
done before bc 1
before bc itwas 1
bc itwas almost 1
itwas almost childish 1
almost childish in 1
childish in the 1
in the drawing 2
the drawing after 1
drawing after that 1
that date the 1
date the figures 1
the figures werebetter 1
figures werebetter though 1
werebetter though short 1
though short and 1
and squat those 1
squat those on 1
the vases usually 1
vases usually showoutline 1
usually showoutline drawing 1
showoutline drawing filled 1
drawing filled in 1
in with dull 1
with dull browns 1
dull browns and 1
browns and yellows 1
and yellows finally 1
yellows finally therewas 1
finally therewas a 1
therewas a mingling 1
a mingling of 3
mingling of etruscan 1
of etruscan with 1
etruscan with greek 1
with greek elements 1
greek elements and 1
elements and an 1
and an imitation 1
an imitation ofgreek 1
imitation ofgreek methods 1
ofgreek methods it 1
methods it was 1
was at best 1
at best a 1
a hybrid art 1
hybrid art but 1
art but of 1
but of some 1
of some importancefrom 1
some importancefrom an 1
importancefrom an archaeological 1
an archaeological point 1
archaeological point of 1
point of viewroman 1
of viewroman painting 1
viewroman painting roman 1
painting roman art 1
roman art is 1
art is an 1
is an appendix 1
an appendix to 1
appendix to the 1
to the art 4
the art history 1
art history of 1
history of greeceit 1
of greeceit originated 1
greeceit originated little 1
originated little in 1
little in painting 1
in painting and 1
painting and was 1
and was content 1
was content to 1
content to perpetuate 1
to perpetuate thetraditions 1
perpetuate thetraditions of 1
thetraditions of greece 1
of greece in 1
greece in an 1
in an imitative 1
an imitative way 1
imitative way what 1
way what was 1
what was worse 1
was worse it 1
worse it copiedthe 1
it copiedthe degeneracy 1
copiedthe degeneracy of 1
degeneracy of greece 1
of greece by 1
greece by following 1
by following the 1
following the degenerate 1
the degenerate hellenisticpaintings 1
degenerate hellenisticpaintings in 1
hellenisticpaintings in motive 1
in motive and 1
motive and method 1
and method it 1
method it was 1
it was substantially 1
was substantially the 1
the same work 1
same work asthat 1
work asthat of 1
asthat of the 1
of the greeks 2
the greeks under 1
greeks under the 1
under the diadochi 1
the diadochi the 1
diadochi the subjects 1
the subjects again 1
subjects again were 1
again were oftentaken 1
were oftentaken from 1
oftentaken from greek 1
from greek story 1
greek story though 1
story though there 1
though there were 4
there were roman 1
were roman historical 1
roman historical scenesgenre 1
historical scenesgenre pieces 1
scenesgenre pieces and 1
pieces and many 1
and many portraitsillustration 1
many portraitsillustration fig 1
portraitsillustration fig ritual 1
fig ritual scene 1
wall painting fromwoltmann 1
painting fromwoltmann and 1
fromwoltmann and woermannin 1
and woermannin the 1
woermannin the beginning 1
the beginning of 8
beginning of the 5
of the empire 2
the empire tablet 1
empire tablet or 1
tablet or panel 1
or panel painting 1
panel painting was 1
painting was ratherabandoned 1
was ratherabandoned in 1
ratherabandoned in favor 1
in favor of 12
favor of mural 1
of mural decoration 1
mural decoration that 1
decoration that is 1
that is to 3
is to say 3
to say figures 1
say figures orgroups 1
figures orgroups were 1
orgroups were painted 1
were painted in 3
painted in fresco 1
in fresco on 1
fresco on the 2
wall and then 1
and then surrounded 1
then surrounded bygeometrical 1
surrounded bygeometrical floral 1
bygeometrical floral or 1
floral or architectural 1
or architectural designs 1
architectural designs to 1
designs to give 1
to give the 2
give the effect 1
the effect of 4
effect of apanel 1
of apanel let 1
apanel let into 1
the wall thus 1
wall thus painting 1
thus painting assumed 1
painting assumed a 1
assumed a more 1
a more decorativenature 1
more decorativenature vitruvius 1
decorativenature vitruvius says 1
vitruvius says in 1
says in effect 1
in effect that 1
effect that in 1
the early days 3
early days nature 1
days nature wasfollowed 1
nature wasfollowed in 1
wasfollowed in these 1
in these wall 1
these wall paintings 2
wall paintings but 1
paintings but later 1
but later on 4
later on they 1
on they became 1
they became ornate 1
became ornate andoverdone 1
ornate andoverdone showing 1
andoverdone showing many 1
showing many unsupported 1
many unsupported architectural 1
unsupported architectural facades 1
architectural facades andimpossible 1
facades andimpossible decorative 1
andimpossible decorative framings 1
decorative framings this 1
framings this can 1
this can be 1
can be traced 1
be traced in 2
traced in the 1
in the roman 3
the roman andpompeian 2
roman andpompeian frescos 2
andpompeian frescos there 2
frescos there were 1
there were four 2
were four kinds 1
four kinds of 1
kinds of these 1
of these wall 1
wall paintings those 1
paintings those that 1
those that covered 1
that covered all 1
covered all the 1
all the walls 1
the walls of 6
walls of a 1
of a room 1
a room and 1
room and did 1
and did away 1
did away with 1
away with dadofrieze 1
with dadofrieze and 1
dadofrieze and the 1
the like such 1
like such as 1
such as figures 2
as figures with 1
figures with large 1
with large landscapebackgrounds 1
large landscapebackgrounds showing 1
landscapebackgrounds showing villas 1
showing villas and 1
villas and trees 1
and trees small 1
trees small paintings 1
small paintings separatedor 1
paintings separatedor framed 1
separatedor framed by 1
framed by pilasters 1
by pilasters panel 1
pilasters panel pictures 1
panel pictures let 1
pictures let into 1
the wall orpainted 1
wall orpainted with 1
orpainted with that 1
with that effect 1
that effect single 1
effect single figures 1
single figures with 1
figures with architecturalbackgrounds 1
with architecturalbackgrounds the 1
architecturalbackgrounds the single 1
the single figures 1
single figures were 1
figures were usually 2
were usually the 1
usually the best 1
the best they 1
best they had 1
they had graceof 1
had graceof line 1
graceof line and 1
line and motion 1
and motion and 1
motion and all 1
